X,Y,fid,BAC,BARef,PDC,PrimDesc,UARN,Add1,St,Postcode,Field16,RV,SCAT,SCATnocode,Sector,Sub-sector,SCat_Desc,Easting,Northing,LAName,Rural_Urban_Classification_(2011)_of_Lower_Layer_Super_Output_Areas_in_England_and_Wales_RUC11CD,Rural_Urban_Classification_(2011)_of_Lower_Layer_Super_Output_Areas_in_England_and_Wales_RUC11,icon_url
-0.416158904758326,51.8803085752596,"15","230","201068780119013",MP,POLICE ROOMS,"7794634000",POLICE ROOMS,THE MALL,LU1 2TN,,"6600",215S,"215",Other,OTHER - OFFICES,Police Stations,"509118","221379",Luton,C1,Urban city and town,./0.png
-0.454464505986439,51.9186187386821,"16","230","201068800200008",MP,POLICE STATION AND PREMISES,"8189853000",LUTON NORTH LOCAL POLICE STATION,THE MOAKES,LU3 3QB,,"13000",215S,"215",Other,OTHER - OFFICES,Police Stations,"506391","225583",Luton,C1,Urban city and town,./0.png
-0.790782186877116,51.3702029849702,"17","335","00334000004008",MP,POLICE STATION AND PREMISES,"490032165",POLICE OFFICE 4-6,UPPER BROADMOOR ROAD,RG45 7AA,,"14750",215S,"215",Other,OTHER - OFFICES,Police Stations,"484271","164154",Bracknell Forest,C1,Urban city and town,./0.png
-0.748479347394609,51.4179474932449,"18","335","00211400020308",MP,POLICE STATION AND PREMISES,"490030165",POLICE STATION,TOWN SQUARE,RG12 1AT,,"83000",215S,"215",Other,OTHER - OFFICES,Police Stations,"487125","169513",Bracknell Forest,C1,Urban city and town,./0.png
-0.292015312797384,52.1293131784972,"19","240",42050/000131,MP,POLICE STATION AND PREMISES,"277655011","17",BEDFORD ROAD,SG19 1EL,,"22000",215S,"215",Other,OTHER - OFFICES,Police Stations,"517012","249265",Central Bedfordshire,C1,Urban city and town,./0.png
-0.261990746986611,52.0850317054914,"20","240",06854/003005,MP,POLICE STATION AND PREMISES,"277660011",5-7,STATION ROAD,SG18 8AL,,"37000",215S,"215",Other,OTHER - OFFICES,Police Stations,"519185","244389",Central Bedfordshire,C1,Urban city and town,./0.png
-0.527799085933486,51.8842399769148,"21","240",7EE228570010,MP,POLICE STATION AND PREMISES,"277664011",BEDFORDSHIRE POLICE AUTHORITY,WEST STREET,LU6 1SG,,"165000",215S,"215",Other,OTHER - OFFICES,Police Stations,"501425","221655",Central Bedfordshire,C1,Urban city and town,./0.png
-0.513845135709189,51.9103918925821,"22","240",7KW415007910,MP,POLICE STATION AND PREMISES,"277661011",ADJ 79,SUNDON ROAD,LU5 5LN,,"14000",215S,"215",Other,OTHER - OFFICES,Police Stations,"502326","224583",Central Bedfordshire,C1,Urban city and town,./0.png
-2.3708983098744,51.3795746022282,"23","114","2550554450",MP,POLICE STATION AND PREMISES,"11606519000",AVON & SOMERSET CONSTABULARY PT 2ND FLR,LOWER BRISTOL ROAD,BA2 3BG,1/4/2017 00:00:00,"23750",215G,"215",Other,OTHER - OFFICES,Police Stations,"374283","164568",Bath and North East Somerset,C1,Urban city and town,./0.png
-2.3567100642136,51.3787195134766,"24","114","2670516004",MP,POLICE STATION AND PREMISES,"9736098000",AVON & SOMERSET CONSTABULARY,MANVERS STREET,BA1 1JW,,"62000",215S,"215",Other,OTHER - OFFICES,Police Stations,"375270","164468",Bath and North East Somerset,C1,Urban city and town,./0.png
-2.47800845719651,51.4134267606756,"25","114","70006006999",MP,POLICE CUSTODY CENTRE AND PREMISES,"9389223000",ASHMEAD ROAD POLICE CENTRE,ASHMEAD ROAD,BS31 1SX,,"910000",215S,"215",Other,OTHER - OFFICES,Police Stations,"366853","168376",Bath and North East Somerset,C1,Urban city and town,./0.png
-2.49322985965941,51.4128691224153,"26","114","70017999905",MP,POLICE STATION AND PREMISES,"215960211",AVON AND SOMERSET CONSTABULARY,BATH HILL,BS31 1HJ,,"47250",215S,"215",Other,OTHER - OFFICES,Police Stations,"365794","168321",Bath and North East Somerset,C1,Urban city and town,./0.png
-2.45668564541909,51.2894076115203,"27","114","62720101004",MP,POLICE STATION AND PREMISES,"215956211",AVON AND SOMERSET CONSTABULARY,WELLS ROAD,BA3 3SG,,"37000",215S,"215",Other,OTHER - OFFICES,Police Stations,"368250","154574",Bath and North East Somerset,C1,Urban city and town,./0.png
